test_id,question_id,question,option_1,option_2,option_3,option_4,correct_answer,explanation,category
apt-001,q1,"Find the next number in the series: 2, 6, 12, 20, ?",28,30,32,26,30,"The difference between consecutive terms: 4, 6, 8, 10 (increasing by 2). So next difference is 10, and 20 + 10 = 30",Number Series
apt-001,q2,"If A is the brother of B, B is the sister of C, and C is the father of D, how is A related to D?",Uncle,Grandfather,Father,Nephew,Uncle,"A is the brother of B, B is the sister of C (so A is also sibling of C). C is father of D. Therefore A is uncle of D.",Blood Relations
apt-001,q3,A train travels at 60 km/hr. How long will it take to cover 180 km?,2 hours,3 hours,4 hours,2.5 hours,3 hours,Time = Distance / Speed = 180 / 60 = 3 hours,Time & Distance
apt-001,q4,What is 15% of 200?,25,30,35,40,30,15% of 200 = (15/100) × 200 = 30,Percentages
apt-001,q5,"If the day before yesterday was Thursday, what day is tomorrow?",Saturday,Sunday,Monday,Friday,Sunday,"Day before yesterday = Thursday, Yesterday = Friday, Today = Saturday, Tomorrow = Sunday",Calendar
apt-001,q6,Complete the analogy: Book is to Reading as Fork is to ____,Writing,Eating,Cooking,Drawing,Eating,"A book is used for reading, similarly a fork is used for eating.",Analogies
apt-001,q7,"Find the odd one out: Apple, Mango, Potato, Orange",Apple,Mango,Potato,Orange,Potato,"Apple, Mango, and Orange are fruits. Potato is a vegetable.",Classification
apt-001,q8,"If 5 workers can complete a job in 12 days, how many days will 10 workers take?",24 days,6 days,8 days,10 days,6 days,Work = Workers × Days. 5 × 12 = 60. For 10 workers: 60/10 = 6 days,Work & Time
apt-001,q9,"What comes next: A, C, E, G, ?",H,I,J,K,I,"Alternate letters of the alphabet: A(1), C(3), E(5), G(7), I(9)",Letter Series
apt-001,q10,"A man walks 5 km North, then 3 km East. How far is he from his starting point?",8 km,√34 km,2 km,4 km,√34 km,Using Pythagorean theorem: √(5² + 3²) = √(25+9) = √34 km,Direction Sense
apt-002,q1,Choose the synonym of 'Abundant':,Scarce,Plentiful,Limited,Rare,Plentiful,"Abundant means plenty or more than enough, which is synonymous with Plentiful.",Synonyms
apt-002,q2,Choose the antonym of 'Benevolent':,Generous,Kind,Malevolent,Caring,Malevolent,Benevolent means kind and generous. Malevolent means having evil intentions.,Antonyms
apt-002,q3,Identify the correctly spelled word:,Accomodation,Accommodation,Acomodation,Acommodation,Accommodation,The correct spelling has double 'c' and double 'm'.,Spelling
apt-002,q4,Fill in the blank: She ____ to the office every day.,go,goes,going,gone,goes,"'She' is third person singular, so the verb takes 's' - 'goes'.",Grammar
apt-002,q5,What is the meaning of the idiom 'Break the ice'?,To start a conversation,To break something,To cool down,To freeze,To start a conversation,'Break the ice' means to initiate conversation or reduce tension in a social situation.,Idioms
apt-002,q6,Arrange in correct order: 1. Larva 2. Egg 3. Butterfly 4. Pupa,"2, 1, 4, 3","1, 2, 3, 4","2, 4, 1, 3","1, 4, 2, 3","2, 1, 4, 3",Life cycle of butterfly: Egg → Larva → Pupa → Butterfly,Logical Sequence
apt-002,q7,Choose the correct sentence:,He don't like coffee,He doesn't likes coffee,He doesn't like coffee,He not like coffee,He doesn't like coffee,"With 'doesn't', the main verb stays in base form.",Sentence Correction
apt-002,q8,Which word is spelled incorrectly?,Necessary,Definately,Separate,Occurrence,Definately,The correct spelling is 'Definitely' not 'Definately'.,Spelling
apt-d009770a,q1,"What is the next number in the sequence: 2, 5, 8, 11, 14, ?",15,17,18,20,17,The pattern in the sequence is adding 3 to the previous term.,Number Series
apt-d009770a,q2,"A snail is at the bottom of a 20-foot well. Each day, it climbs up 3 feet, but at night, it slips back 2 feet. How many days will it take for the snail to reach the top of the well?",18 days,19 days,20 days,22 days,18 days,"The snail effectively climbs 1 foot per day. On the 18th day, it will climb the final 3 feet to reach the top.",Logical Reasoning
apt-d009770a,q3,Which of the following words is closest in meaning to 'Fastidious'?,Meticulous,Vigilant,Energetic,Adventurous,Meticulous,Fastidious refers to having a strong attention to detail and being demanding in one's standards. Meticulous is the closest synonym.,Verbal Ability
apt-d009770a,q4,"A bakery sells 250 loaves of bread per day. They make a profit of $0.50 per loaf. If they operate 7 days a week, what is their total weekly profit?",$800,$875,$1000,$1125,$875,"The bakery sells 250 loaves per day and operates 7 days a week, so they sell 250 * 7 = 1750 loaves per week. With a profit of $0.50 per loaf, their total weekly profit is 1750 * $0.50 = $875.",Quantitative Ability
apt-d009770a,q5,"If it takes 5 machines 5 minutes to make 5 widgets, how long would it take 100 machines to make 100 widgets?",5 minutes,50 minutes,100 minutes,500 minutes,5 minutes,"The rate of production per machine does not change. If 5 machines can make 5 widgets in 5 minutes, then 100 machines can make 100 widgets in the same amount of time, 5 minutes.",Logical Reasoning
apt-18a36bca,q1,A bat and a ball together cost $1.10. The bat costs $1.00 more than the ball. How much does the ball cost?,$0.05,$0.10,$0.15,$0.20,$0.05,"Let's assume the cost of the ball is x. Since the bat costs $1.00 more than the ball, the cost of the bat is x + $1.00. The total cost of the bat and the ball is $1.10, so we can write the equation: x + (x + $1.00) = $1.10. Solving for x gives us x = $0.05.",Quantitative Aptitude
apt-18a36bca,q2,"If it takes five machines five minutes to make five widgets, how long would it take 100 machines to make 100 widgets?",5 minutes,50 minutes,100 minutes,500 minutes,5 minutes,"The production rate is 1 widget per machine per 5 minutes. If we have 100 machines, they will produce 100 widgets in the same time it takes 5 machines to produce 5 widgets, which is 5 minutes.",Logical Reasoning
apt-18a36bca,q3,Which of the following words is closest in meaning to the word 'Fastidious'?,Meticulous,Rapid,Sloppy,Vigilant,Meticulous,"Fastidious means having a strong attention to detail and being demanding in one's standards. Meticulous is a synonym of fastidious, as it also means paying great attention to detail.",Verbal Ability
apt-18a36bca,q4,"A snail is at the bottom of a 20-foot well. Each day, it climbs up 3 feet, but at night, it slips back 2 feet. How many days will it take for the snail to reach the top of the well?",18 days,20 days,22 days,28 days,18 days,"The snail effectively climbs 1 foot per day (3 feet up during the day, then 2 feet back at night). To climb 20 feet, it will take 18 days (18 * 1 = 18), and on the 18th day, when it climbs the final 3 feet, it will reach the top and not slip back.",Quantitative Aptitude
apt-18a36bca,q5,"If 'a' is greater than 'b' and 'c' is less than 'b', then which of the following is true?",a > c,c > a,b > c,None of the above,a > c,"Since 'a' is greater than 'b' and 'c' is less than 'b', we can conclude that 'a' is greater than 'c'. This is because 'b' serves as a middle value, and 'a' is greater than this middle, while 'c' is less than it.",Logical Reasoning
